title,content,source,url
Bài ca về những đôi vai,"Sau chuyến đi tải về
Đôi vai còn bốc lửa
Chiếc gùi hàng vừa dở
Đôi vai khuyết lại tròn
 
Mưa nắng đã mài mòn
Thịt da thành sắt đá
Chiếc khăn rằn trẻ quá
Bờ vai chưa chịu già
 
Cuộpc chiến tranh đi qua
Đôi vai còn ấm mãi
Ngược về thời con gái
Tóc xoã trên vai trần
 
Hai mươi năm hành quân
Trọn một thời vất vả
Hơn người xưa vá đá
Vết sẹo trên da mềm
 
Vòng tay bạn thì êm
Cái quai bòng tì xót
Thương đôi vai khó nhọc
Gùi tình yêu qua cầu
 
Ta lại về bên nhau
Qua muôn trùng bom đạn
Thường tình và bí ẩn
Như vai kề bên vai.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/B%C3%A0i-ca-v%E1%BB%81-nh%E1%BB%AFng-%C4%91%C3%B4i-vai/poem-ld1LePn5ThJVTouz0KUB-A
Chiếc bình đã vỡ,"Em đã đập tan rồi
Chiếc bình anh quý nhất
Anh gìn giữ đêm ngày
Nâng niu như báu vật
 
Ôi chiếc bình, chiếc bình
Với anh là tất cả
Hy vọng với niềm tin
Tình yêu cùng phép lạ
 
Anh gửi ở trong bình
Máu hồng và nhịp thở
Hạnh phúc của đời anh
Mong manh và đễ vỡ...
 
Em đã đập tan rồi
Chiếc bình anh quý nhất
Bởi đơn giản với em
Bình chỉ là cục đất
 
Em đập chẳng run tay
Em đập không nhíu mày
 
Chiếc bình đã vỡ rồi
Không bao giờ lành lại
Trái tim anh như bình
Cũng vỡ rồi, mãi mãi...",(2001),https://www.thivien.net/Anh-Ng%E1%BB%8Dc/Chi%E1%BA%BFc-b%C3%ACnh-%C4%91%C3%A3-v%E1%BB%A1/poem-y68MImovyNwO9QZ4YAjAVw
Cho một người,"Tiễn người ra cửa rồi 
Tôi quay vào lặng lẽ 
Chợt thấy mình cô đơn 
Giữa ngổn ngang bàn ghế 

Khi người không yêu ta 
Buồn đã đành một nhẽ 
Khi ta không yêu người 
Sao cũng buồn đến thế 

Như đánh mất điều gì 
Lòng bâng khuâng khó tả 
Như thể mắc nợ ai 
Món nợ không thể trả 

Có lẽ ta thương người 
Giờ này đang lủi thủi 
Hay là ta thương ta 
Từng chịu nhiều hắt hủi 

Ngỡ chẳng có gì đâu 
Mà sao thành rắc rối 
Tất cả chỉ một lời 
Nói hay là không nói? 

Bởi đơn giản thế thôi 
Biết làm sao cho được 
Khi người thì yêu tôi 
Còn tôi yêu người khác.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/Cho-m%E1%BB%99t-ng%C6%B0%E1%BB%9Di/poem-uHKlSOpKvkOUb93Ld7gb0g
Đùa tặng một cô gái không mấy chính chuyên,"Anh phải cảm ơn em
Thực lòng không nói dối
Chính nhờ em phản bội
Anh mới có thơ tình
 
Phản bội thì quá nhanh
Thơ tình còn mãi đó
Phản bội mình anh khổ
Thơ tình dành muôn người
 
Buồn vui sẽ qua thôi
Sướng khổ dần quên hết
Người trẻ rồi người gài
Người già rồi người chết
Chỉ tình yêu không hìa
Chỉ tình yêu bất diệt
Bất diệt với thơ tình
 
Anh phải cảm ơn em
Tưởng mất &nbsp;mà hoá được
Ở đời ai biết trước
Rủi may là thế nào
Ở đời ai biết được
Dại khôn ra làm sao...",(2001),https://www.thivien.net/Anh-Ng%E1%BB%8Dc/%C4%90%C3%B9a-t%E1%BA%B7ng-m%E1%BB%99t-c%C3%B4-g%C3%A1i-kh%C3%B4ng-m%E1%BA%A5y-ch%C3%ADnh-chuy%C3%AAn/poem-RvgB1pGKz_G_YIH4z9vd4w
Hương lá,"Em bước đi trong rừng
Mùa đông
Vừa khép cửa
Chưa đến thì hoa nở
Lá thơm tràn hai vai
 
Thơm đầy hai bàn tay
Ngọn lang rừng thơm thảo
Một tháng ròng không gạo
Lá bép sống qua ngày
 
Lá chát với lá xoài
Thực đơn toàn tên lá
Hương thơm vào trong dạ
Như lá thơm trong rừng
 
Xin nõn chuối đọt măng
Chờ em sau trận sốt
Nâng bát canh lá lốt
Lại nhớ con ếch đồng
 
Lại thương bao năm ròng
Những mặt người sau lá
Ngả lưng chiều xứ lạ
Hái lá lót chỗ nằm
 
Nâng niu giữa tay cầm
Nỗi gì không nói được
Theo người lên phía trước
Hạt gạo thức trong gùi
 
Cay đắng với ngọt bùi
Mối năm thêm một tuổi
Lá như tình đồng đội
Toả hương vào hồn em.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/H%C6%B0%C6%A1ng-l%C3%A1/poem-lh5bLm5iotHDDY8IGfDslA
Mùa mưa anh sẽ về,"Gửi C2 Đoàn vận tải H50
Cực Nam Trung Bộ
 
Mùa mưa anh sẽ về
Ai gọi hoài trong gió
Ngôi sao Hôm vừa tỏ
Bòng trên vai lên đường
 
Xa xanh chiều quê hương
Trời Cực Nam nắng trở
Cái vạch sơn đạn lửa
Cháy bùng lên mùa khô
 
Lắc lư chiếc xe thồ
Dốc Bù Du nghiêng ngả
Dáng núi ngồi vất vả
Nhọc nhằn ôm bóng em
Cách nhau một khoảng đêm
Vươn tay dường nắm được
Đồng Nai nửa con nước
Đã rụng đầy lá tre
 
Mùa mưa anh sẽ về
Cửa rừng con cuốc gọi
Bàn tay nào biết nói
Cần xe thồ rung rung
 
Mặt đèo đêm vượt cung
Lầm lì hòn đá hộc
Mảnh trăng liềm đỉnh dốc
Hai phía đường chia soi
 
Mỗi đứa một phương trời
Mùa khô nằm ở giữa
Một đồn thù bốc lửa
Nối hai đầu tiếng ve
Mùa mưa anh sẽ về
Họng súng còn nóng bỏng
Mùa mưa anh sẽ về
Gối đầu lên cánh võng
Vầng trán chiều mơ mộng
Rừng le nghe gió se
 
Mùa mưa anh sẽ về
 
Cho mặt suối thành gương
Soi mặt người chiến thắng
Cho mắt em đầy nắng
Cho hồn anh đầy em.","Cực Nam, mùa khô 1975",https://www.thivien.net/Anh-Ng%E1%BB%8Dc/M%C3%B9a-m%C6%B0a-anh-s%E1%BA%BD-v%E1%BB%81/poem-YzUiQEewTrKs81_icMnAQg
Ví von từ Euro 2000,"Yêu nhau đầu Euro
Bỏ nhau cuối Euro
Tình yêu như bóng đá
Người khóc, kẻ reo hò
 
Bóng đá như tình yêu
Trận này rồi trận khác
Như sau Ý – Hà Lan
Là tiếp liền Ý – Pháp
 
Trận nào lưới cẫn sạch
Trận nào thủng mấy bàn
Tránh tóc dài Davids
Gặp hói đầu Zidane
 
Tình yêu như bóng đá
Thắng thắng với thua thua
Cúp vàng rồi cúp bạc
Trứng thối cùng cà chua
 
Tình yêu như bóng đá
Bí ẩn và giản đơn
Sân bãi dàn trận mạc
Cỏ vẫn mọc xanh rờn
Dường như sau trận đấu
Cỏ càng mọc xanh hơn
 
Tình yêu như bóng đá
Tỉnh táo lẫn điên rồ
Cuộc đời thành sân cỏ
Giật mình, gào: dô, dô...
 
Yêu nhau đầu Euro
Bỏ nhau cuối Euro...",(2001),https://www.thivien.net/Anh-Ng%E1%BB%8Dc/V%C3%AD-von-t%E1%BB%AB-Euro-2000/poem-Gxqo_PS3Gu8e2oaSzAwhcQ
Có lẽ nào,"Lẽ nào em không hiểu
Tình anh trên non ngàn
Lòng em tựa biển sâu
Quấn quít mối yêu đầu
Dẫu lỡ làng trái ngang

Lẽ nào em không nhận
Tim anh gởi nồng say
Mắt anh ánh thuỷ tinh
Hơi thở nhẹ giăng mây
Ôm hồn em lênh đênh

Lẽ nào em không muốn
Giữa đường đời chênh vênh
Một vòng tay ấm nồng
Một linh hồn mông mênh
Một đời em hồi sinh

Lẽ nào em không thấy
Anh tìm mãi bóng mình
Cô đơn và hoang lạnh
Giữa suối thơ gieo tình
Mong gặp nửa tri âm

Lẽ nào em không yêu
Người suốt đời tìm kiếm
Trong vang vọng tiếng cười
Chân dung một nàng thơ
Một linh hồn sương khói

Lẽ nào em buông rơi
Tình đẹp nhưng trái ngang
Khi lòng nghe chơi vơi 
Yêu người nên chia xa
Em đành phải lìa anh

Lẽ nào... và lẽ nào
Vào tận đáy tim mình
Vang vọng mãi lời anh
Dư hương còn thắm tình
Xoay mãi một vòng yêu...",,https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/C%C3%B3-l%E1%BA%BD-n%C3%A0o/poem-z-nXkgcl_lyHoaUkpYTp3Q
Có một mùi hương,"Ai thả hương trong gió? 
Hoàng hôn tím chân trời
Nét xưa còn trong mơ
Vời vợi bóng bên đời

Tình cờ một phút mơ
Anh nhìn em nhung nhớ
Bên cõi lòng bối rối
Nhẹ thoảng mấy đường tơ

Hương người ngấm trong thơ
Đưa em về bến mộng
Với mối tình ngẩn ngơ
Hạt tóc rơi vai người

Tình ngân dài mộng mơ
Trong bước đời chơi vơi
Em nghe lòng bạc phơ
Chút hương mờ thổn thức…

Ai thả hương trong gió?
Một thời nhớ khôn nguôi…
Giấc mơ đời xanh thơ
Khuất lấp bóng bên đời…","Nhật ký Trầm Hương
VĐT, 15/9/05",https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/C%C3%B3-m%E1%BB%99t-m%C3%B9i-h%C6%B0%C6%A1ng/poem-u1rOtt5_RNO2jqmvDDN6hg
Cùng anh,"Anh ơi, anh dấu yêu
Trời xanh thơ trong xanh
Xẻ mây nối nhịp lòng
Ngày ngày anh vào em
Trao tình yêu trăng sao

Anh ơi, anh yêu dấu
Con đường nào cho nhau
Bỗng ào ào bảo giông
Anh ngỏ lời quyết liệt
Chọn lựa nào không đau

Anh ơi, anh dấu yêu
Em một đời theo anh
Biển tình mộng say nồng
Bỏ mặc nghĩa ân xưa
Nằm bên lòng canh cánh

Anh ơi, anh yêu dấu
Hay em thả hồn thơ
Trả lại anh con tim
Một thời anh để quên
Em góc nhỏ mộng mơ

Anh ơi, anh dấu yêu
Lòng em chợt tái tê
Mái nhà ai tan tác
Còn ngóng đợi em về
Bao não nề rưng rưng

Anh ơi, anh yêu dấu
Em băn khoăn day dứt
Đường yêu đầy hoa mộng
Nghĩa xưa ôi vẫn nồng
Em lạc giữa đôi đàng

Anh ơi, dầu say nhau
Đau thăm thẳm nỗi đau
Rượu tình say khó phai
Tim em còn rướm máu
Như máu trái tim anh
Mải miết tình mê say
Lỡ làng đành buông tay
Hồn mình gởi mây bay

Tình mình là định mệnh
Là ánh chớp sao băng
Nên lìa xa nghìn trùng
Anh vẫn siết hương em…

 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;15/10/07 VAĐ",,https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/C%C3%B9ng-anh/poem-XZ-RqjkiEfuvrKllhpO99g
Hoa bâng khuâng,"Hoa muộn nở trong chiếu
Tương tư hồn khách lạ
Tiếng cười xưa yêu kiều
Nở cả một vườn hoa

Hoa muộn nở trong chiều
Rộn ràng mộng tâm giao
Khua vang đời quạnh hiu
Ánh nửa mảnh trăng nằm

Hoa muộn nở trong chiều
Bâng quơ vì sao mọc
Cuối ngõ đường ngẫn ngơ
Thướt tha người mặt ngọc

Hoa muộn nở trong chiều
Tim vang lời tao ngộ
Tóc mây thả trời thơ
Gió lộng bước người về

Hoa muộn nở trong chiều
Lênh đênh mắt thủy tinh
Hút hồn người phiêu lãng
Đáy sâu tìm cuộc tình

Hoa muộn nở trong chiều
Bâng khuâng lòng run rẩy
Anh như đã quay về
Nghe tiếng lòng em yêu

Trong ngút ngàn xa xăm
""Em yêu anh""... người ơi!...
Âm vang tiếng thơ anh
Cho mê mải một đời…",,https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/Hoa-b%C3%A2ng-khu%C3%A2ng/poem--auGem_7ZtkQg4F8FCMDUg
Hoàng hoa mộng,"Thuyền ai đậu bến sông Trăng đó 
Có chở trăng về kịp tối nay?... 
(Hàn Mặc Tử)
 &nbsp;
Là mộng ngập hồn trăng 
Tình thênh thang mở lối 
Hoàng hoa trải bóng vàng 
Chơi vơi nửa con tim 
 &nbsp;
Xa đưa tìm cánh chim 
Ngậm nửa ánh trăng huyền 
Tình trăn trở lặng im 
Dấu hài vướng nét thơ 
 &nbsp;
Hoa cười hồn ngẩn ngơ 
Đi giữa đường hoàng hoa 
Ánh vàng buông lửng lơ 
Từ hẹn yêu người đến 
 &nbsp;
Giai điệu tình lênh đênh 
Rạng ngời tim reo vui 
Người trong khúc chênh vênh 
Như tiếng Phượng cầu Hoàng 
 &nbsp;
Trong tiếng lòng mênh mang...","Nguyên tiêu, 21-02-2008",https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/Ho%C3%A0ng-hoa-m%E1%BB%99ng/poem-ZJMmAp_ag0bV0crVt1LD7Q
Hội nhạc,"Cách đây chừng mấy buổi,
Ba em bảo: bây giờ
Sắp có ngày nhạc hội,
Em phải lo bình thơ!

Bình thơ! Em bình thơ!
Em có bình bao giờ.
Việc của nhà thi sĩ,
Thế mà em phải lo.

Em đòi ca cải cách,
Ba em bảo: đừng con!
Như suối chảy róc rách,
Anh chị ca mê hồn!

Ba em còn nói thêm,
Anh chị ca có duyên.
Vậy dành cho anh chị
Âm nhạc mới thần tiên!

Còn em, em nói trắng,
Em đã từng trăng mơ...
Bởi lo ba em mắng,
Em vâng lời bình thơ!

Bình thơ! Bình làm sao?
Em phải bình thế nào?
Anh chị đừng ngủ gật,
Mặt tươi như hoa đào!

Tự nhiên mang nghiệp mới,
Lòng em hoá bâng khuâng...
Ba em nhìn em nói:
“Con sẽ thành thi nhân”.

Thực tình, em lo quá,
Lo đến ngày hôm nay,
Trước ba ngàn bạn lạ,
Em phải đứng nơi đây.

Đứng nơi cao chót vớt,
Trên sóng điện truyền thanh,
Tiếng vỗ tay vừa ngớt,
Rút bài thơ ra bình.

Bình thơ đâu có dễ,
Đâu phải là ăn nem?
Ba em thường nói thế,
Làm em lo lắng thêm!

Bởi thế, chiêu hôm qua,
Em dựa bến thềm hoa,
Thấy ba em uống rượu,
Rượu say rồi ngâm nga!

Ba em nâng cao giọng,
Lòng em cũng siêu siêu...
Ba em nhìn trời rộng,
Lòng em say cảnh chiều.

Rồi em rán bắt chước
Giọng bình của ba em,
Nhưng em đâu giống được,
Càng rán càng vô duyên.

Việc gì đến phải đến,
Cho nến chiều hôm nay,
Có một làn gió quyến
Đưa em đến nơi đây.

Ở nhà, ba em nhắc:
Có ba ngàn trẻ em,
Có cả ông Giám đốc
Dự vui ngày tất niên.

Và em phải thận trọng
Khi ra trước khán đài,
Miệng tươi, mắt linh động,
Mình nghiêng, đầu vái dài.

Bây giờ em nhìn ra,
(Chắc ba em hết la)
Em nhìn ra anh chị
Thân mến như một nhà.

Ánh vàng còn rơi rớt
Trên các chòm cây xoan...
Lữa lần và mai mốt...
Một năm trời tiêu tan.

Tả đón xuân yêu quý
Trong hội nhạc cuối năm
Mơ xuân đầy hương vị,
Lòng em như trăng rằm.

Gió đây vui, vui quá,
Lát nữa rồi chia tay,
Rồi, mỗi người mỗi ngả...
Bao giờ lại gặp đây!

Em còn toan đọc nữa,
Đọc một ngàn câu thơ,
Nhìn bốn phương khói lửa,
Em tạm ngừng lời mơ.

Em xin phép chấm dứt
Lời thơ và xuống đài.
Trong nắng vàng lay lứt,
Em nghiêng đầu vái dài...",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Anh-%C4%90%C3%A0o/H%E1%BB%99i-nh%E1%BA%A1c/poem-muCgV4SdzTi0__9GmaqIHg
Nếu... vì...,"Nếu anh là mây nổi
Em xin là trời xanh
Dõi theo qua ngàn lối
Dù tháng ngày qua nhanh

Nếu anh là cánh buồm
Em sẽ làm ngọn gió
Trên mỗi dặm trùng khơi
Nỗi niềm đang chín đỏ

Nếu anh là nỗi buồn
Em sẽ là hy sinh
Trong suốt cuộc thăng trầm
Chỉ mình em trông ngóng

Nếu anh là đam mê
Em sẽ là ngọn lửa
Đem hơi ấm cho đời
Quên chút lòng quạnh quẽ

Vì anh ngời mắt sáng
Em giữ bền lòng son
Yêu nhau trong khốn khó
Toan tính cuộc vuông tròn

Vì anh là cô đơn
Em là nguồn an ủi
Bao dâu bể qua đời
Ru tấc lòng mệt mỏi

Vì anh là hơi thở
Em sẽ là trái tim
Chuyển thêm dòng máu đỏ
Cho hơi thở lâu bền

Vì anh là cuộc đời
Môi em là nghĩa sống
Sao có thể rời xa
Khi lòng đương cháy bỏng...",10/07,https://www.thivien.net/V%C6%B0%C6%A1ng-Anh-%C4%90%C3%A0o/N%E1%BA%BFu-v%C3%AC/poem-H1QgriWvZp6bK8GFKJLrUg
